Number,Field,Notes,,,
912,Move Heaven and Earth: Take all possible steps in trying to accomplish something,,,,
913,Move the Needle: Have a measurable effect on something,,,,
914,Move Up in the World: Become more successful,,,,
915,"Movers and Shakers: Influential people, especially in a particular field",,,,
916,"Much Of A Muchness: Essentially equal, not significantly different (said of a choice)",,,,
917,Mum’s the Word: This is secret; don’t talk about this. Often used as an answer to a request not to talk about something.,,,,
918,,,,,
919,Music to My Ears: Good to hear; welcome news,,,,
920,Mutton Dressed Up as Lamb: A woman who dresses in a style appropriate to someone of a younger age,,,,
921,Nail-Biter: A suspenseful event,,,,
922,My Dogs Are Barking: My feet hurt.,,,,
923,"My Old Man, My Old Lady: My spouse",,,,
924,"My Way or the Highway: If you do not do things the way I want or require, then you can just leave or not participate.",,,,
928,Nailing Jelly/Jello/Pudding To A Wall/Tree: An impossible task,,,,
929,"Neck and Neck: Very close in a competition, with neither of two entities clearly in the lead",,,,
930,,,,,
931,"Neck of the Woods: A region, especially one’s home region",,,,
933,Mind One’s P’s and Q’s: Be attentive to details; be on one’s best behavior,,,,
934,Never in A Million Years: Absolutely never,,,,
935,Never Look a Gift Horse in the Mouth: It’s rude to examine a gift closely; accept gifts politely.,,,,
936,"New Wrinkle: A novel aspect to a situation, a new development",,,,
937,Nice Chunk of Change: A large amount of money,,,,
938,"Nickel and Dime: To negotiate over very small sums; to try to get a better financial deal, in a negative way",,,,
939,Nine Times Out of Ten: Almost always,,,,
940,Nine-to-Five Job: A routine job in an office that involves standard office hours,,,,
941,Nip (Something) In The Bud: Deal with a problem before it becomes large,,,,
942,"No Holds Barred (usually adj., often hyphenated): Unrestricted, without rules",,,,
943,No Love Lost Between: There is a mutual animosity between two people,,,,
944,"No Names, No Pack Drill: By not accusing anyone specifically, I may avoid trouble.",,,,
945,"No Names, No Pack Drill: If no one can be identified, no one will be punished.",,,,
946,No Rhyme or Reason (to): Without logic or pattern,,,,
947,"No Room to Swing A Cat: Very small, not big enough",,,,
948,"No Shit, Sherlock: That’s very obvious!",,,,
949,No Tree Grows to the Sky: Growth cannot continue indefinitely.,,,,
950,Not Cut Out for (Something): Not naturally skillful enough to do something well,,,,
951,Not Enough Room to Swing a Cat: A very small space,,,,
952,Not Give A Fig: To not care at all about something,,,,
953,"Not Have A Cat In Hell’s Chance: Have no possibility of succeeding, coming to pass, or achieving something",,,,
954,Not Have a Prayer: Have no chance of success,,,,
955,Not Know Jack: Not know anything,,,,
956,Not Lift a Finger: Do nothing to help,,,,
957,Nest Egg: Retirement savings; wealth saved for a future purpose,,,,
958,Not One’s Cup of Tea: Not something one is interested in,,,,
959,"Not Playing with A Full Deck: Stupid, mentally deficient or impaired",,,,
960,Not Ready for Prime Time: Not yet perfected; inexperienced,,,,
961,Not Sit Well with (Someone): Be difficult to accept; make someone uncomfortable,,,,
962,"Nothing to Write Home About: Unspectacular, ordinary",,,,
963,Nuts and Bolts: Everyday details of something,,,,
964,"Nutty as a Fruitcake: Crazy; idiotic; wacky.



Pack Heat: Carry a gun",,,,
965,Paddle One’s Own Canoe: To be able to act independently.,,,,
966,"Page-Turner: A page-turner is an exciting book that’s easy to read, a book that’s difficult to put down.",,,,
967,Pain in the Ass; Pain in the Butt;,,,,
968,Pain in the Neck: Someone or something making your life difficult,,,,
969,Paint the Town Red: Go out drinking and partying,,,,
970,Par for the Course: What would normally be expected. This has a negative connotation.,,,,
971,Pass the Buck: Transfer a problem to someone else,,,,
972,"Pass With Flying Colors: To succeed brilliantly, as on an exam or other test",,,,
973,Passing Fancy: A temporary interest or attraction,,,,
974,Pay Through the Nose (For Something): Pay a large amount of money,,,,
975,"Peaches and Cream: A situation, process, etc., that has no trouble or problems",,,,
976,"Pecking Order: Hierarchy, rank of importance",,,,
977,Pencil Something In: Make tentative arrangements,,,,
978,Not Mince Words: Moderate or weaken a statement,,,,
979,Pep Talk: An encouraging speech given to a person or group,,,,
980,Perfect Storm: A rare combination of disastrous occurrences,,,,
981,Pet Peeve: A small thing that you find particularly annoying,,,,
982,Pick a Fight: Intentionally provoke a conflict or fight with someone,,,,
983,Pick Up the Slack: Do something that someone else is not doing; assume someone else’s responsibilities,,,,
984,"Pick Up the Tab: To pay a bill presented to a group, especially in a restaurant or bar",,,,
985,Pie in the Sky: Something that is unrealistic or that cannot be achieved,,,,
986,Piece of Cake: Very easily done,,,,
987,Pin Someone Down: Demand a decision or clear answer,,,,
988,"Pinch Pennies: To be careful with money, to be thrify",,,,
989,"Pink Slip: A layoff notice; loss of a job, typically because of layoffs",,,,
990,"Pipe Dream: An unrealistic hope, a fantasy",,,,
991,Piping Hot: Very hot (generally said of food),,,,
992,Pipped to the Post: Defeated by a narrow margin,,,,
993,"Pissing Contest: A meaningless argument or competition, typically between males",,,,
994,"Play Ball: Cooperate, agree to participate",,,,
995,Play Cat And Mouse: Trying to trick someone into making a mistake so you can defeat them.,,,,
996,Play Hardball: Adopt a tough negotiating position; act aggressively,,,,
997,Play it by Ear: To play a piece of music without referencing sheet music or a recording,,,,
998,Play It by Ear: To respond to circumstances instead of having a fixed plan,,,,
999,Play the Percentages: Bet on or rely on what is most likely to happen,,,,
1000,Play the Ponies: Bet on horse racing.,,,,
1001,Play With Fire: Do something very risky,,,,
1002,Play Your Cards Right: Exploit a situation to your best advantage,,,,
1003,"Penny-Pinching: Frugal, avoiding expenses whenever possible",,,,
1004,Point the Finger At: Blame (someone),,,,
1005,Point the Finger: At Blame (someone),,,,
1006,"Poison Pill (n): A provision or feature added to a measure or an entity to make it less attractive, an undesirable add-on",,,,
1007,"Poison Pill: A provision or feature added to a measure or an entity to make it less attractive, an undesirable add-on",,,,
1008,Pop One’s Clogs: To die,,,,
1009,Pop One’s Cork: To release one’s anger; to blow one’s top,,,,
1010,Pop the Question: Propose marriage,,,,
1011,Pot Calling the Kettle Black: Accusing someone of something of which you are also guilty; being hypocritical,,,,
1012,"Pour (Rub) Salt into (on) the Wound (an open wound): Worsen an insult or injury;
make a bad situation worse for someone",,,,
1013,"Powder Keg: An explosive situation, a situation in which people are angry and ready to be violent",,,,
1014,"Powder Keg: An explosive situation, a situation in which people are angry and ready to be violent",,,,
1015,Powder One’s Nose: To use the restroom (lavatory). This is used by women,,,,
1016,"Preach to the Choir, Preach to the Converted: To make an argument with which your listeners already agree",,,,
1017,Preaching to the Choir: Making arguments to those who already agree with you,,,,
1018,Pretty Penny: A lot of money; too much money (when referring to the cost of something),,,,
1019,Price Yourself Out of the Market: Try to sell goods or services at such a high price that nobody buys them.,,,,
1020,"Puddle Jumper: A small airplane, used on short trips",,,,
1021,Pull Out All the Stops: Do everything possible to accomplish something,,,,
1022,Pull Strings: Use influence that’s based on personal connections,,,,
1023,Pull the Plug On: Terminate (something),,,,
1024,Point of No Return: A place from which it is impossible to go back to the starting point,,,,
1025,"Puppies And Rainbows: Perfect, ideal (usually used slightly sarcastically, in contrast with a less ideal situation)",,,,
1026,Puppy Dog Eyes: A begging look,,,,
1027,"Puppy Love: Adolescent love or infatuation, especially one that is not expected to last",,,,
1028,Pure as the Driven Snow: To be innocent and chaste (frequently used ironically),,,,
1029,"Push the Envelope: Go beyond common ways of doing something, be innovative",,,,
1030,Pushing Up Daisies: Dead,,,,
1031,Pushing Up Daisies: Dead and buried,,,,
1032,"Put a Thumb on the Scale: Try to influence a discussion in an unfair way, cheat",,,,
1033,Put Down Roots: Establish oneself in a place; settle,,,,
1034,Put in One’s Two Cents: Say your opinion,,,,
1035,Put Lipstick on a Pig: Make cosmetic changes to something bad,,,,
1036,Put one’s Face On: Apply cosmetics,,,,
1037,"Put Out Feelers: Make discreet, informal suggestions, ask around",,,,
1038,Put Someone on the Spot: Force someone to answer a question or make a decision immediately,,,,
1039,"Put That in Your Pipe and Smoke It: Accept and consider what I’m saying, even if you don’t like it!",,,,
1040,Put the Best Face On (Something): Emphasize the positive aspects of a bad situation,,,,
1041,Put the Brakes On: Slow something down,,,,
1042,Put the Cart Before The Horse: To do things in the wrong order,,,,
1043,Put the Cart Before the Horse: To do things out of the proper order.,,,,
1044,Put the Cat Among The Pigeons: Say or do something that causes trouble or controversy,,,,
1045,Put the Genie Back in the Bottle: Try to suppress something that has already been revealed or done,,,,
1046,Put the Pedal to the Metal: Drive as fast as possible,,,,
1047,Pull Yourself Together: Control your emotions; recover from a strong emptional upset,,,,
1048,"Put Up with (Something): Tolerate, accept
Put Words Into Someone’s Mouth: Attributing an opinion to someone who has never stated that opinion
Put Your Foot Down: Use your authority to stop negative behavior
Put Your Foot In Your Mouth: Say something that you immediately regret
Put Your Money Where Your Mouth Is: Back up your opinions with a financial commitment",,,,
1049,Quarter Past: Fifteen minutes after the hour,,,,
1050,Quarter To/Of: Fifteen minutes before the hour,,,,
1051,Queer the Pitch: Interfere with someone’s plans; make something more difficult,,,,
1052,Quick as a Flash: Very fast,,,,
1053,"Quick-and-Dirty: Approximate, hastily done",,,,
1054,"Quote Unquote: Ironically speaking; suggesting that if a phrase were written out, it would be in quotation marks to convey sarcasm



Race Against Time: To rush to meet a deadline, to be forced to do something very quickly",,,,
1055,Rain Cats And Dogs: Rain heavily,,,,
1056,Rain Cats and Dogs: Rain very heavily,,,,
1057,Rain on Someone’s Parade: Spoil someone’s plans,,,,
1058,Raise (Someone’s) Hackles: Make someone angry and defensive,,,,
1059,Raise One’s Voice: Talk loudly,,,,
1060,Raise Red Flags: Warn of trouble ahead,,,,
1061,Raise the Bar: Increase standards in a certain competition or area of endeavor,,,,
1062,Raise the Roof: Make a great deal of noise (said of a crowd),,,,
1063,Rake (Someone) Over the Coals: To scold someone severely,,,,
1064,Rake Over the Ashes: Restart a settled argument; examine a failure,,,,
1065,Rake Someone Over the Coals: Scold severely,,,,
1066,Rank and File: The ordinary members of an organization,,,,
1067,Read Between the Lines: Perceive what is not explicitly stated,,,,
1068,"Rear Its Ugly Head (said of a problem or something unpleasant): Appear, be revealed",,,,
1069,Rearrange the Deck Chairs on the Titanic: Taking superficial actions while ignoring a much larger and perhaps fatal problem,,,,
1070,Red Flag: A warning; a sign of trouble ahead,,,,
1071,Red Herring: A misleading clue; something intended to mislead,,,,
1072,Red Meat: Political appeals designed to excite one’s core supporters; demagoguery,,,,
1073,Red Tape: Bureaucracy; difficult bureaucratic or governmental requirements,,,,
1074,Red-Light District: A neighborhood with many houses of prostitution,,,,
1075,Reinvent the Wheel: Devise a solution to a problem for which a solution already exists,,,,
1076,Riding High: Enjoying success,,,,
1077,Right as Rain: Absolutely correct,,,,
1078,"Right Under (One’s) Nose: In an obvious location, yet overlooked",,,,
1079,Right-Hand Man: Chief assistant,,,,
1080,Right-Hand Man: Chief assistant,,,,
1081,Ring a Bell: Sound familiar,,,,
1082,Ring a Bell: When something seems familiar,,,,
1083,Rob Peter to Pay Paul: Pay off a debt with another loan; solve a problem in such a way that it leads to a new problem,,,,
1084,Rob the Cradle: To be sexually or romantically involved with someone who is very young,,,,
1085,Rob the Cradle: To be sexually or romantically involved with someone who is very young,,,,
1086,Rock Bottom: An absolute low point,,,,
1087,Rock the Boat: Cause a disruption in a group. Often used in the negative: don’t rock the boat.,,,,
1088,Roll the Dice On: Take a risk,,,,
1089,Roll With the Punches: Deal with problems by being flexible,,,,
1090,Read the Tea Leaves: Predict the future from small signs,,,,
1091,Rookie Mistake: An error made by an inexperienced person,,,,
1092,Rotten to the Core: Entirely evil,,,,
1093,Rub (Something) in Someone’s Face: Humiliate someone by repeating and criticizing his or her mistake,,,,
1094,Rub It In: Say something that makes someone feel even worse about a mistake,,,,
1095,Rub Someone’s Nose in (Something): Humiliate someone by repeating and criticizing his or her mistake,,,,
1096,"Rubber-Stamp (v.): Approve something without consideration, as a formality",,,,
1097,"Rule of Thumb: A general principle or guideline, not a specific formula",,,,
1098,"Run a Tight Ship: Manage an organization in a strict, well-regulated way",,,,
1099,Run in the Family: Be inherited (as a trait) by multiple members of a family,,,,
1100,Run in the Family: To be a common family characteristic,,,,
1101,Run into a Buzz: Saw Encounter severe and unexpected problems,,,,
1102,Run into a Buzz: Saw Encounter severe and unexpected problems,,,,
1103,"Run off at the Mouth: Talk a lot about unimportant things, talk incoherently",,,,
1104,Run on Fumes: To be in a situation where one’s energy or resources is almost exhausted,,,,
1105,"Run Out of Steam: Lose momentum, become tired",,,,
1106,"Run the Table: Win every game or contest


Sacred Cow: An indvidual or organization that one cannot criticize",,,,
1107,Saving Grace: Something that redeems a bad situation,,,,
1108,Scare the Living Daylights Out of Someone: Frighten someone severely,,,,
1109,"Scorched Earth (Tactics, Policy, etc.): Ruthless, extremely destructive",,,,
1110,Screw The Pooch: To make a serious error,,,,
1111,Rome Wasn’t Built in a Day: Complex projects take time,,,,
1112,Second Banana: A person in a subservient position,,,,
1113,Second Stringer: A substitute player in a sport; a substitute for a job who is not the most talented person,,,,
1114,Second Wind: Renewed energy,,,,
1115,"See Eye to Eye: To concur, agree",,,,
1116,See Something Out of the Corner of Your Eye: Use peripheral vision,,,,
1117,Seize (Take) the Bull By the Horns: Attack a problem directly,,,,
1118,Seize the Day: Take an opportunity,,,,
1119,Sell (Someone) a Bill of Goods: Trick someone; be deceptive,,,,
1120,Sell Like Hotcakes: Be sold very quickly,,,,
1121,Selling Point: An attractive feature of something for sale,,,,
1122,Set in Stone: Fixed; unchangeable,,,,
1123,Set something to Music: To write a piece of music to accompany a set of words,,,,
1124,Set the Bar (Too) High: To set a high standard for something,,,,
1125,Set the Thames on Fire: Do something amazing. Usually used in the negative.,,,,
1126,Set the World on Fire: Do something amazing; have a brilliant stretch in one’s career,,,,
1127,Shake the Dust off Your Shoes (Feet): Make a clean break with a relationship or situation,,,,
1128,Shape Up or Ship Out: Behave properly or leave the organization,,,,
1129,Sharp as A Tack: Mentally agile,,,,
1130,Shell Game: A method of deception in which you conceal your actions by moving something frequently,,,,
1131,"Shift Gears: Change the subject, or change what one is doing",,,,
1132,"Shipshape And Bristol Fashion: Tidy, clean",,,,
1133,Shit a Brick: Be extremely fearful.,,,,
1134,Shoot from the Hip: Talk or act without consideration,,,,
1135,School Of Hard Knocks: Difficult real-life experiences from which one has learned,,,,
1136,Shoot Oneself In The Foot: Do something that damages oneself or one’s own cause,,,,
1137,Short Fuse: A quick temper; a tendency to anger quickly,,,,
1138,Shot Across the Bow: A warning of more serious actions to come,,,,
1139,Shoulder A Weight Off Your Shoulders: You no longer worry about something or deal with something difficult,,,,
1140,Show Me an X And I’ll Show You a Y: There is a consequence to X that you may not have thought of.,,,,
1141,Show One’s True Colors: Reveal one’s true nature,,,,
1142,Show Your Cards: Reveal your resources or plans,,,,
1143,Sick and Tired of: Extremely annoyed by something that occurs repeatedly,,,,
1144,Sick as a Dog: Extremely ill.,,,,
1145,Sick as a Parrot: Very disappointed,,,,
1146,Sight for Sore Eyes: A sight that makes you happy,,,,
1147,Silver Bullet: Something simple that resolves a difficult problem,,,,
1148,Simmer Down: Become less angry; regain one’s composure,,,,
1149,Sink or Swim: Fail or succeed,,,,
1150,Sing a Different Tune: Change your opinion,,,,
1151,Sit On (Something): Delay revealing or acting on something,,,,
1152,Sit Tight: Wait and do not go anywhere,,,,
1153,Sitting Duck: Something or someone easily attacked or criticized,,,,
1154,Sitting Pretty: In a favorable situation,,,,
1155,Six Feet Under: Dead and buried,,,,
1156,Six Feet Under: Dead and buried,,,,
1157,"Six of One, a Half Dozen of the Other: The two choices have no significant differences.",,,,
1158,Six Ways to (from) Sunday: In every possible way,,,,
1159,Slam Dunk: An effort that is certain to succeed,,,,
1160,Shoot Off One’s Mouth: Talk without considering one’s words,,,,
1161,"Sleep with the Fishes: Dead, often by murder",,,,
1162,Slip Someone a Mickey: Add a drug to an alcoholic drink in order to knock someone out,,,,
1163,"Slippery Slope: A series of undesirable effects that, one warns, could result from a certain action",,,,
1164,Slower than Molasses: Exceptionally slow or sluggish; not fast at all.,,,,
1165,"Small Beer: Unimportant, insignificant",,,,
1166,Small Fry: People or organizations with little influence; children,,,,
1167,"Small Potatoes: Unimportant, insignificant",,,,
1168,Smell a Rat: Suspect deception,,,,
1169,Smoking Gun: indisputable evidence of a crime,,,,
1170,Snafu: A malfunction; a chaotic situation,,,,
1171,Snake Oil: A useless medicine; a quack remedy; a product or measure promoted as a solution that really does nothing to help,,,,
1172,Snake Oil: Medicine of unproven value; fraudulent medicine,,,,
1173,Sneak Peek: A sneak peek is an opportunity to view something in advance of its official opening or debut,,,,
1174,Soak Up the Sun: To enjoy the sun,,,,
1175,Sold On (Something): Convinced of something,,,,
1176,Some Eggs: Achieving a major goal requires the ability to tolerate some problems,,,,
1177,Someone’s Fingerprints Are All Over (Something): Someone’s influence is evident,,,,
1178,"Something to Crow: About Something to be proud of, an accomplishment about which one is justified in bragging",,,,
1179,Son of a Gun: 1) A rogue. 2) An exclamation of surprise.,,,,
1180,Sore Point: A sensitive topic for a particular person,,,,
1181,Sour Grapes: Disparagement of something that has proven unattainable,,,,
1182,Sour Grapes: Spiteful disparagment of a goal one has failed to achieve,,,,
1183,Sleep Like a Baby: To experience a very deep and restful sleep; to sleep soundly,,,,
1184,Speak of the Devil (and He Shall Appear): The person we have just been talking about has entered.,,,,
1185,Speak with A Plum in (one’s) Mouth: To speak in a manner that is indicative of a high social class.,,,,
1186,Spick and Span: Clean and neat,,,,
1187,Spill the Beans: Reveal a secret,,,,
1188,Spin A Yarn: Tell a story,,,,
1189,Spin One’s Wheels: Engaging in activity that yields no progress; getting nowhere,,,,
1190,Spit into The Wind: Wasting time on something futile,,,,
1191,"Spoiling for a Fight: Combative, wanting conflict, eager to argue or fight",,,,
1192,"Spoiling for a Fight: Combative, wanting conflict, eager to argue or fight",,,,
1193,Square the Circle: Attempt an impossible task,,,,
1194,Stab Someone in the Back: To betray (somebody),,,,
1195,Stalking Horse: Someone who tests a concept in advance of its application; a candidate who enters a political race in order to test the strength of the incumbent,,,,
1196,Stand (Someone) In Good Stead: Be useful in the future,,,,
1197,Stand On One’s Own Two Feet: To be independent and self-sufficient,,,,
1198,Stand One’s Ground: Refuse to back down; insist on one’s position,,,,
1199,Start with a Clean Slate: To start (something) again with a fresh beginning; to work on a problem without thinking about what has been done before,,,,
1200,Steal Someone’s Thunder: Upstage someone,,,,
1201,"Stem the Tide: To stop or control the growth of something, usually something unpleasant.",,,,
1202,Step Up One’s Game: Work to advance to a higher level of a competition,,,,
1203,"Step Up to the Plate: Prepare to take action, be the person in a group who takes action",,,,
1204,Stick It to the Man: Do something that frustrates those in authority,,,,
1205,Stick Your Nose into Something: Intrude into something that is not your affair,,,,
1206,"Spare The Rod And Spoil The Child: It is necessary to physically punish children in
order to raise them right.",,,,
1207,Stick-in-the-Mud: A person who dislikes or adapts slowly to new ideas,,,,
1208,"Sticky Wicket: A difficult, tricky situation",,,,
1209,Stiff-Necked: Stubborn; excessively formal,,,,
1210,"Storm in a Teacup: A commotion that dies down quickly, about something unimportant",,,,
1211,Stormy Relationship: Relationship that has a lot arguments and disagreement,,,,
1212,"Stumbling Block: An obstacle, physical or abstract",,,,
1213,"Straight Arrow: An honest, trustworthy person",,,,
1214,Strain at a Gnat and Swallow a Camel: To make a fuss over something unimportant while ignoring larger issues,,,,
1215,"Strike A Chord: Used to describe something that is familiar to you, reminds you of something or is connected to you somehow.",,,,
1216,Sugar Daddy: A rich man who is generous with younger women in return for sexual favors,,,,
1217,Sure-Fire: Certain to occur,,,,
1218,Swan Song: A final appearance,,,,
1219,Swan Song: This expression is used to describe a final act before dying or ending something.,,,,
1220,Sweep Under the Carpet: Attempt to temporarily conceal a problem or error,,,,
1221,Sweep Under the Rug: Attempt to temporarily conceal a problem or error,,,,
1222,Sweet Dreams!: Sleep well!,,,,
1223,Sweeten the Deal: Add something to an offer during a negotiation,,,,
1224,"Sweeten the Pot: Increase the amount of winnings potentially available in a game of chance, especially poker",,,,
1225,Swim Against the Tide: Do something contrary to a trend or usual opinion,,,,
1226,Swim with Sharks: To take a major risk,,,,
1227,"Swim with the Fishes: Have been killed, especially with involvement of organized crime",,,,
1228,Swing for the Fences: Attempt to achieve the largest accomplishment possible,,,,
1229,Sticker Shock: Surprise at the high price of something,,,,
1230,"



Take (Someone) to the Cleaners: 1) Swindle; 2) defeat badly",,,,
1231,Take a Deep Dive (Into): Explore something extensively,,,,
1232,Take a Flyer: To take a rise; especially to make a speculative investment,,,,
1233,Take a Gander: Go to take a look at something,,,,
1234,Take a Hike: Go away,,,,
1235,"Take A Powder: To leave, especially in order to avoid a difficult situation",,,,
1236,Take a Rain Check: Decline an invitation but suggest that you’ll accept it at a later time.,,,,
1237,Take Five (Ten): Take a short break of five (ten) minutes,,,,
1238,Take Five: To take one brief (about five minutes) rest period,,,,
1239,"Take It Easy: 1) Relax, rest; 2) (as a command) Calm down!",,,,
1240,Take It Easy: Don’t hurry; relax; don’t get angry,,,,
1241,"Take It Easy: When you relax, or do things at a comfortable pace, you take it easy.",,,,
1242,Take It on The Chin: Be attacked; suffer an attack,,,,
1243,Take It or Leave It (command): You must decide now whether you will accept this proposal,,,,
1244,Take Someone to Task: Reprimand someone strongly,,,,
1245,"Take Something with a Pinch (grain) of Salt: If you take what someone says with a pinch of salt, you do not completely believe it.",,,,
1246,Take the Cake: Be the most extreme instance,,,,
1247,Take the Edge Off (of Something): To slightly improve something negative,,,,
1248,Take the Fifth: Refuse to answer because answering might incriminate or cause problems for you,,,,
1249,Take the Gloves Off: Negotiate in a more aggressive way,,,,
1250,Swing for the Fences: Attempt to achieve the largest accomplishment possible,,,,
1251,Take The Mickey (Piss) (Out Of Someone): Make fun of or ridicule someone,,,,
1252,Take the Shine Off (Something): To do something that diminishes a positive event,,,,
1253,Take the Starch out of (Someone): Make someone less confident or less arrogant,,,,
1254,"Take The Wind Out of Someone’s Sails: To reduce someone’s confidence, ofte by doing something unexpected",,,,
1255,Take Your Life in Your Hands: Undergo extreme risk,,,,
1256,"Take Your Medicine: Accept something unpleasant, for example, punishment, without protesting or complaining",,,,
1257,"Take Your Time: Don’t hurry, work at a relaxed pace",,,,
1258,Taste of Your Own Medicine: The same unpleasant experience or treatment that one has given to others,,,,
1259,Teach an Old Dog New Tricks: To change someone’s long-established habits. Usually used in the negative: You can’t teach an old dog new tricks.,,,,
1260,Tear One’s Hair out: Be extremely worried or frustrated,,,,
1261,Tear-Jerker: A film or book that makes you cry,,,,
1262,"Tee Many Martoonies: Too many martinis, scrambled to suggest drunkenness",,,,
1263,Tell It to the Marines: I don’t believe you; you must think I’m gullible.,,,,
1264,Tempest in a Teapot: A commotion about something unimportant,,,,
1265,"Ten a Penny: Ordinary, inexpensive",,,,
1266,Ten to One: Something very likely,,,,
1267,Test the Waters: Experiment with something cautiously,,,,
1268,Test the Waters: Try something out in a preliminary way,,,,
1269,Tie the Knot: Get married,,,,
1270,Tighten the Screws: Increase pressure on someone,,,,
1271,"Tight-Lipped: secretive, unwilling to explain something",,,,
1272,Til the Cows Come Home: For a very long time,,,,
1273,"Time is Money: time is valuable, so don’t waste it.",,,,
1274,Take the High Road: Refuse to descend to immoral activities or personal attacks,,,,
1275,Tip One’s Hand: Reveal one’s advantages; reveal useful information that one possesses,,,,
1276,TLC: Tender Loving Care,,,,
1277,"To be A Peach: Someone or something that is extremely good, impressive, or attractive",,,,
1278,To be Smitten With Someone: To be completely captivated by someone and feel immense joy,,,,
1279,To be someone’s One and Only: To be unique to the other person,,,,
1280,To be the Apple of Someone’s Eye: To be loved and treasured by someone,,,,
1281,To Bear Fruit: To develop in a profitable or positive way,,,,
1282,To Bear Fruit: To develop in a profitable or positive way,,,,
1283,To Carpool: To travel to the same place with a group of people in one car. e.g. work/school,,,,
1284,To Each His Own: People have different tastes.,,,,
1285,To Get Cold Feet: To experience reluctance or fear,,,,
1286,"To Have a Chip on One’s Shoulder: To be combative, to be consistently argumentative",,,,
1287,To Have Butterflies In Your Stomach: To be nervous,,,,
1288,To Have One For the Road: To have one last (alcoholic) drink before you go home,,,,
1289,To Pay an Arm and a Leg: A very high cost,,,,
1290,To Pop (one’s) Cherry: To do something for the first time,,,,
1291,To Pull Someone’s Leg: Lie playfully,,,,
1292,To Run Hot and Cold: To be unable to make up one’s mind,,,,
1293,To the Letter: Exactly (said of instructions or procedures),,,,
1294,"Toe the Line: Accept authority, follow the rules",,,,
1295,"Tone-Deaf: Not good at perceiving the impact of one’s words, insensitive",,,,
1296,Tongue-in-Cheek: Said ironically; not meant to be taken seriously,,,,
1297,"Tip of the Iceberg: A small, visible part of a much larger problem",,,,
1298,Too Many Cooks Spoil the Broth: A project works best if there is input from a limited number of people,,,,
1299,"Too Many Chiefs and Not Enough Indians: Everyone wants to be a leader, and no one wants to do the actual work",,,,
1300,Too Many To Shake A Stick At: A large number,,,,
1301,Toot Your Own Horn: Brag; emphasize one’s own contributions,,,,
1302,"Top Banana: The boss, the leader",,,,
1303,Toss a Wrench (Spanner) Into: Sabotage; cause a process to stop,,,,
1304,Touch Base: Meet briefly with someone,,,,
1305,"Touch One’s Heart: Affect someone emotionally, be touching",,,,
1306,Touch Water: Be launched. Said of a boat.,,,,
1307,Tough Cookie: A very determined person,,,,
1308,Tough Cookie: Someone who can endure hardship; especially: a strong negotiator,,,,
1309,Tough Sledding: Difficult progress,,,,
1310,Turn a Blind Eye: (to) Choose not to notice something,,,,
1311,Turn on a Dime: Quickly reverse direction or position,,,,
1312,Turn Someone Inside Out: To cause strong emotional turmoil; to completely change someone,,,,
1313,"Turn Something on Its Head: Reverse something, cause something to be done in a new way",,,,
1314,"Turn Turtle: Capsize, turn over",,,,
1315,Turn the Corner: To begin to improve after a problem,,,,
1316,Turn the Tables: Reverse a situation,,,,
1317,"Turnabout Is Fair Play: If you suffer from the same suffering you have inflicted on others, that’s only fair",,,,
1318,Twenty-Four Seven: At any time,,,,
1319,Twist the Knife (in Deeper): Make someone’s suffering worse,,,,
1320,"Too Busy Fighting Alligators to Drain the Swamp: So occupied with multiple
challenges that one can’t keep the big picture in mind",,,,
1321,"Two a Penny: Ordinary, inexpensive",,,,
1322,Two Peas in A Pod: Two people who are very similar in appearance,,,,
1323,Thank God It’s Friday (TGIF): Let’s be happy that the workweek is over!,,,,
1324,That Ship Has Sailed: That opportunity has passed.,,,,
1325,That’s Music to My Ears: I am very happy to hear this.,,,,
1326,That’s a Stretch: What you are suggesting is very difficult to believe; I am very skeptical,,,,
1327,That’s All She Wrote: That was the end of the story.,,,,
1328,The Apple Never Falls Far From the Tree: Family characteristics are usually inherited,,,,
1329,The Birds and the Bees: Human sexuality and reproduction,,,,
1330,The Cat Is Out of the Bag: The secret has been revealed.,,,,
1331,The Coast Is Clear: We are unobserved; it is safe to proceed.,,,,
1332,The Cherry On the Cake: The final thing that makes something perfect,,,,
1333,The Deck Is (The Cards Are): Stacked Against You Unfavorable conditions exist.,,,,
1334,The Jig Is Up: A secret illicit activity has been exposed; your trickery is finished,,,,
1335,"The More Things Change, The More They Stay The Same: Although something may seem superficially new, it has not altered the basic situation.",,,,
1336,The Only Game in Town: The sole option for a particular service.,,,,
1337,"The Powers That Be: People in charge, often used when the speaker does not want to identify them.",,,,
1338,The Real McCoy: A genuine item,,,,
1339,The Story Has Legs: People are continuing to pay attention to the story.,,,,
1340,"The Time is Ripe: If you say that the time is ripe, you mean that it is a suitable point for a particular activity",,,,
1341,The Walls Have Ears We: may be overheard; be careful what you say,,,,
1342,The Walls Have Ears: We may be overheard; be careful what you say,,,,
1343,The Whole Enchilada: All of something.,,,,
1344,Twist the Knife (in Deeper): Make someone’s suffering worse,,,,
1345,The World Is Your Oyster: You have many opportunities and choices.,,,,
1346,There But For The Grace Of God Go I: I could easily have done what that person did.,,,,
1347,There’s More Than One Way to Skin a Cat: There’s more than one way of achieving a certain goal.,,,,
1348,There’s No Such Thing as a Free Lunch: Nothing is given to you without some expectation of something in return.,,,,
